Complex ID,SMILES,Orig Rank,Model Conf,CNN Pose Score,Affinity (pK),Vina Score,File Path
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,5,-0.88,0.4194,6.67874,1.89516,results/complex_0/rank5_confidence-0.88.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,14,-1.57,0.41262,6.52223,4.55844,results/complex_0/rank14_confidence-1.57.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,20,-1.78,0.40922,6.56323,8.17734,results/complex_0/rank20_confidence-1.78.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,19,-1.73,0.40329,6.51488,16.28157,results/complex_0/rank19_confidence-1.73.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,17,-1.64,0.40003,6.4662,17.33925,results/complex_0/rank17_confidence-1.64.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,17,-1.97,0.39752,6.82516,7.36696,results/complex_0/rank17_confidence-1.97.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,5,-0.76,0.39525,6.75193,0.07303,results/complex_0/rank5_confidence-0.76.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,7,-1.08,0.39496,6.48218,7.83925,results/complex_0/rank7_confidence-1.08.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,8,-1.17,0.39274,6.48118,6.04167,results/complex_0/rank8_confidence-1.17.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,21,-1.81,0.38996,6.63673,4.94688,results/complex_0/rank21_confidence-1.81.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,6,-1.05,0.38406,6.78407,-0.98292,results/complex_0/rank6_confidence-1.05.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,16,-1.61,0.36227,6.21961,30.24148,results/complex_0/rank16_confidence-1.61.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,13,-1.52,0.35448,6.56165,-1.61005,results/complex_0/rank13_confidence-1.52.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,2,-0.29,0.3521,6.70387,-5.77514,results/complex_0/rank2_confidence-0.29.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,9,-1.29,0.35088,6.27338,13.88573,results/complex_0/rank9_confidence-1.29.sdf
